,Actual value,Predicted value
2453,0,-0.4551910326366433
2861,0,-0.46591832604677075
4053,0,1.5425613094590784
2659,11,6.136803542021186
15,0,-0.11480004304242608
4416,0,1.6974027523831405
474,0,0.04200173544519181
3636,1,2.084887504424673
4969,3,3.1648147090365217
3526,5,5.361004526593737
1121,1,1.4358149450569577
4481,0,1.5353898914927875
1563,0,-0.09438329887740604
3739,8,3.724189532764986
2395,0,0.2919529989923362
928,0,0.3523167971159129
3391,0,1.853301280479541
713,0,0.2641302188107195
3516,0,2.11763029953417
4123,1,1.5212775247545638
640,0,0.44846397578020003
1783,3,0.5708000299587663
530,1,0.9947882838099664
389,5,0.0658666675721078
1064,2,2.002094498005798
2565,0,-0.38058900412927454
2538,2,-0.42648387766716955
1938,0,0.20218326327787395
5762,0,1.473157742935995
185,0,-0.4092711840369485
5650,0,1.6410999476448365
4059,3,2.2308203856863367
5842,0,1.514175945938078
3579,0,1.8486959199092352
1099,0,0.2346161941029079
1895,0,0.7331984118907666
2030,3,5.995212195025174
3691,2,2.5782385879078378
176,0,-0.44433666223684676
5210,1,2.085697638562417
5837,2,1.5071804923663201
369,0,-0.6797972303686772
2547,0,-0.6797972303686772
2200,0,-0.09368141542186059
4715,0,1.1632808167749986
4361,1,1.574333340386279
1219,0,0.8396743150257442
4536,0,1.1778052344970749
4254,1,7.240903765834791
489,0,0.045444805530603816
3911,1,1.5017531552657797
3119,3,2.512464627778396
2384,0,-0.4340533787873522
259,0,-0.4551910326366433
2215,0,0.8249505242886093
2405,0,-0.19980681459399707
2498,1,-0.4340533787873522
498,1,-0.1910605237995917
2918,11,4.445896445538416
1174,0,0.5403235620057956
2359,11,5.057928384442302
1543,0,0.15188394951749729
1588,0,-0.0943169516850908
2844,87,26.231707456232158
4306,0,1.4928991451485438
5878,6,4.2886684329169835
5602,0,1.4998296180480057
343,1,-0.1991503265858252
271,0,-0.2524812288333127
257,39,20.694905895258636
4343,0,2.104150955048902
2199,0,-0.022610287296528586
5116,1,2.0847827456999646
2397,7,-6.349822635372855
5998,2,1.9873093544699967
2233,2,0.11894833782858338
1085,0,0.24525808645516545
1100,0,0.26252042640770235
1356,0,-0.07134009895715998
1889,0,-0.07216017760800675
3617,1,2.599624170738938
1004,0,0.5277887820272165
977,0,0.26276835538951193
4613,0,1.0856972641735014
5234,5,2.8313989603885457
4619,1,1.0554096189809519
2064,1,0.6493525822410646
3057,1,1.8671030161770483
1395,0,-0.0899211085642011
2036,0,-0.09800795075231239
5360,0,1.8358476417824905
5128,0,2.0823104397968493
4579,2,1.9537431886734176
5048,0,8.499148943253791
1775,0,-0.11147696215167402
2886,3,1.9477614629543267
5697,2,1.9635935732741463
2202,0,-0.09710353376233094
1649,0,0.4088744680056706
